category,data_period,total_children,single_men,single_women,total_single_adults,families_with_children,total_families,total_adults_in_families
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201810,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201810,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201810,27,,,,,,
number of unduplicated persons - DYCD-administered facilities,201810,38,170,119,289,12,12,22
number of unduplicated persons - DYCD-administered crisis shelters,201810,25,73,60,133,7,7,16
number of unduplicated persons - DYCD-administered transitional independent living facilities,201810,3,27,9,36,5,5,6
Average Length of Stay: DYCD -administered Temporary Independent Living (TIL) facility,201810,121,,,,,,
average monthly utilization rates - DYCD-administered facilities,201810,0.95,,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201810,0.96,,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201810,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201810,0.95,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201810,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201810,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201810,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201810,,,,,,,
number of unduplicated persons - DYCD-administered drop-in centers,201810,10,70,50,120,,,0
average monthly utilization rates - DYCD-administered transitional independent living facilities,201811,0.93,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201811,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201811,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201811,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201811,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201811,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201811,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201811,38,,,,,,
Average Length of Stay: DYCD -administered Temporary Independent Living (TIL) facility,201811,149,,,,,,
average monthly utilization rates - DYCD-administered facilities,201811,0.94,,,,,,
number of unduplicated persons - DYCD-administered drop-in centers,201811,6,42,43,85,,,
number of unduplicated persons - DYCD-administered crisis shelters,201811,15,51,26,77,8,8,8
number of unduplicated persons - DYCD-administered facilities,201811,33,118,96,214,13,13,13
number of unduplicated persons - DYCD-administered transitional independent living facilities,201811,12,25,27,52,5,5,5
average monthly utilization rates - DYCD-administered crisis shelters,201811,0.95,,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201811,,,,,,,
number of unduplicated persons - DYCD-administered facilities,201812,26,135,102,237,6,6,4
number of unduplicated persons - DYCD-administered drop-in centers,201812,3,49,38,87,,,
average monthly utilization rates - DYCD-administered facilities,201812,,0.92,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201812,,0.93,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201812,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201812,,0.92,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201812,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201812,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201812,,,,,,,
