category,subcategory,work_type,fy15,fy16,fy17,fy18,fy19,total
State of Good Repair,A. New Construction,1. Building Replacement,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,B. Major Modernizations and Rehabilitations,1. Full Modernizations,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,B. Major Modernizations and Rehabilitations,2. Interior Modernizations,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,B. Major Modernizations and Rehabilitations,3. Exterior Modernizations,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,C. Building Upgrade,1. Asbestos,45.65,40.00,40.00,40.00,40.00,205.65
State of Good Repair,C. Building Upgrade,2. Boiler Conversion,23.17,59.44,164.27,156.29,105.17,508.33
State of Good Repair,C. Building Upgrade,3. Climate Control,9.61,23.34,62.08,64.95,29.83,189.81
State of Good Repair,C. Building Upgrade,4. Indoor Air Pollution Abatement,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,C. Building Upgrade,5. Kitchen Conversion,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,C. Building Upgrade,6. Low-Voltage Electrical System,6.91,11.01,56.34,14.42,1.20,89.88
State of Good Repair,C. Building Upgrade,7. Lighting Fixtures,0.34,0.00,0.00,4.95,0.45,5.75
State of Good Repair,C. Building Upgrade,8. Elevators and Escalators,15.25,3.31,15.78,7.59,8.06,50.00
State of Good Repair,C. Building Upgrade,9. Reinforcing Cinder Concrete Slabs,0.32,0.05,0.66,0.00,0.00,1.03
State of Good Repair,C. Building Upgrade,10. Flood Elimination,23.82,12.74,89.49,87.30,59.64,272.99
State of Good Repair,C. Building Upgrade,11. Air Conditioning Retrofit,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,C. Building Upgrade,12. Lead Paint Abatement,0.00,2.00,2.00,2.00,2.00,8.00
State of Good Repair,C. Building Upgrade,13. Reinforcing Support Elements,1.58,4.41,6.34,4.12,4.10,20.55
State of Good Repair,C. Building Upgrade,14. Interior Spaces,0.61,0.49,5.51,8.60,5.74,20.95
State of Good Repair,D. Rehabilitation of Physical Education Facilities,1. Athletic Fields,0.93,2.64,39.44,37.27,19.73,100.00
State of Good Repair,D. Rehabilitation of Physical Education Facilities,2. Playground Redevelopment,2.12,3.07,29.11,10.51,5.19,50.00
State of Good Repair,D. Rehabilitation of Physical Education Facilities,3. Swimming Pools,0.69,19.14,24.48,2.96,0.26,47.52
State of Good Repair,E. System Replacements,1. Roofs,44.28,19.98,239.77,97.43,63.47,464.92
State of Good Repair,E. System Replacements,2. Parapets,32.05,16.56,154.58,89.28,65.02,357.49
State of Good Repair,E. System Replacements,3. Painting and Plastering,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,E. System Replacements,4. Windows,12.22,9.72,178.85,62.55,76.21,339.55
State of Good Repair,E. System Replacements,5. Exterior Masonry,63.72,37.20,263.06,224.39,181.16,769.54
State of Good Repair,E. System Replacements,6. Electrical Systems,37.91,196.35,31.31,4.05,16.34,285.95
State of Good Repair,E. System Replacements,7. Heating Plant Upgrade,32.83,21.66,49.98,54.03,87.91,246.42
State of Good Repair,E. System Replacements,7b. Ventilation,0.00,3.40,37.91,23.28,19.81,84.40
State of Good Repair,E. System Replacements,8. Domestic Piping,3.11,7.28,28.24,10.60,0.76,50.00
State of Good Repair,E. System Replacements,9. Toilets - Students,0.35,11.66,17.13,10.04,10.81,50.00
State of Good Repair,E. System Replacements,10. Toilets - Staff,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,E. System Replacements,11. Floors,0.14,0.09,2.44,7.46,6.47,16.61
State of Good Repair,E. System Replacements,12. Paved Area - Blacktop,0.51,3.49,1.22,0.55,0.04,5.81
State of Good Repair,E. System Replacements,13. Paved Area - Concrete,0.74,0.82,12.48,9.03,8.25,31.33
State of Good Repair,E. System Replacements,14. Fencing,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,E. System Replacements,15. Kitchen Areas,0.11,4.93,7.64,6.33,5.99,25.00
State of Good Repair,E. System Replacements,16. Containerization,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,E. System Replacements,17. Auditorium Upgrade,1.33,3.55,9.74,2.68,0.17,17.47
State of Good Repair,E. System Replacements,18. Gymnasium Upgrade,1.83,1.05,3.00,0.00,0.00,5.88
State of Good Repair,E. System Replacements,19. Asset Management Program,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,E. System Replacements,20. CIP Response,0.00,0.00,0.00,0.00,0.00,0.00
State of Good Repair,E. System Replacements,21. Cafeteria / Multipurpose Room Upgrade,0.05,16.73,6.41,1.69,0.12,25.00
System Expansion,A. New Construction-Additional Capacity,1. New Schools,140.39,720.11,1109.42,2052.40,1951.58,5973.90
System Expansion,A. New Construction-Additional Capacity,2. Building Additions,155.95,473.67,365.20,22.57,64.65,1082.05
System Expansion,A. New Construction-Additional Capacity,2a. Building Additions/Modernizations,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,A. New Construction-Additional Capacity,3. Leased Facility Improvements,2.08,86.60,66.89,268.22,133.27,557.06
System Expansion,A. New Construction-Additional Capacity,4. Transportables,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,A. New Construction-Additional Capacity,5. Modular Classrooms,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,A. New Construction-Additional Capacity,7. Capacity - Interior Modernization,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,A. New Construction-Additional Capacity,8. Pre-Kindergarten Initiative,46.25,40.38,16.68,5.14,0.00,108.45
System Expansion,A. New Construction-Additional Capacity,9. 3-K Initiative,116.24,189.04,118.81,56.42,0.00,480.50
System Expansion,A. New Construction-Additional Capacity,10. Early Learn,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,B. New Construction-Common-Facilities-Additions,1. Lunchrooms,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,B. New Construction-Common-Facilities-Additions,2. Auditoriums,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,B. New Construction-Common-Facilities-Additions,3. Gymnasiums,5.67,50.44,1.32,1.60,0.00,59.03
System Expansion,B. New Construction-Common-Facilities-Additions,4. Swimming Pools,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,C. New Physical Education Facilities,1. Athletic Fields,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,C. New Physical Education Facilities,2. Playgrounds,2.18,7.49,21.87,1.62,0.02,33.19
System Expansion,D. New Const-Common Facil-Bldg Add/Mod,1. Lunchrooms,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,D. New Const-Common Facil-Bldg Add/Mod,2. Auditoriums,0.00,0.00,0.00,0.00,0.00,0.00
System Expansion,D. New Const-Common Facil-Bldg Add/Mod,3. Gymnasiums,0.00,0.00,0.00,0.00,0.00,0.00
