objectid,radefect,radefectlocation,failure,impacttarget,consequence,riskrating,inspectionglobalid,globalid,createddate,failureimpact,workorderglobalid
1564064,Dead Wood,Branches,3,2,2,7,71D1F41A-1F4C-4B65-BDFF-9A88E5CD5A4C,3C69BD04-7A34-4CE4-A55C-5F14F50F3D72,2020-05-27 14:17:12.0000000,5,
1973409,No Visible Defect,Entire Tree,1,1,1,3,2A8DB317-54BA-4867-B1D5-CC6C971F6D9D,E6541570-93DD-4A3D-B57E-65098E02087B,2020-07-23 12:26:25.0000000,2,
2029662,Decay,Branches,4,4,3,11,3E6E7ADE-B9AB-432B-9FA1-A9A0413400CE,74D9B2A1-5B32-4AD9-8B1D-08B7B85E9D14,2020-07-31 14:42:52.0000000,8,F913CABA-DBB2-4CA6-A05D-599A6E34D464
1981069,Cracks,Branches,4,1,2,7,2C91A86D-282C-489A-8038-FAD62672DDF0,C7B1BB78-7DFE-4E87-A608-B93736CF275F,2020-07-24 12:41:33.0000000,5,
1958324,No Visible Defect,Entire Tree,1,1,1,3,60C12FF5-DDA1-4B0C-B6A1-9A7AC7E3EB7A,2AC4153A-0ABE-47B3-8A68-A5F2FA36E1AD,2020-07-22 15:17:02.0000000,2,
417160,Decay,Stem,1,1,1,3,B5EB859D-6946-4918-9039-CF8BC534F539,570BCF5D-9681-4D75-BD90-1A7ACCCFD718,2019-10-14 18:57:00.0000000,2,
1566111,Dead Wood,Branches,2,3,4,9,97335762-1039-4650-B6C4-20F95A70599B,FD671262-7E81-48A7-BB8D-43657AD86375,2020-05-27 16:03:02.0000000,5,
1266816,Dead Wood,Stem,1,1,1,3,0F1A80C1-2EC1-4AA0-93E5-99ED7EFFA97E,F040741E-AC9F-48D5-A1FD-E92D19816BD6,2020-03-24 14:28:00.0000000,2,A4FC70A2-2035-4B3F-A571-C4513CFA8DC7
868337,Dead Wood,Branches,3,3,4,10,5F51BEE7-1DBA-4E3C-A625-11D0B94BDF66,3B14F8D0-4D31-4F51-A7F1-2BDE0C12BFB4,2020-01-06 19:46:00.0000000,6,
764012,Decay,Stem,2,2,3,7,20EAC256-D253-40A8-9223-D93C1022324C,2079021B-0753-4FC2-A932-437D702DA89C,2019-12-11 18:21:00.0000000,4,
445401,Dead Wood,Branches,4,3,2,9,B86CE41E-D267-4BAB-90A0-5A949ED6427D,28639733-483F-468E-B4AA-FFE7C34CEB9E,2019-10-17 16:40:00.0000000,7,
1267171,Dead Wood,Branches,1,2,4,7,AC1EA03D-60D0-4BEE-AE71-760BB8ED2022,F4DA542B-EC0C-4D14-8935-9E85BC1FBE93,2020-03-24 15:11:00.0000000,3,
699710,Decay,Roots,2,4,1,7,4594B313-0EA2-4651-90D0-A25E4B31B298,4BE7C2AE-E562-436E-BFED-86C4FF6203C1,2019-11-25 18:20:00.0000000,6,
1987530,Dead Wood,Branches,1,1,2,4,746934BC-3120-49D7-A3C5-60F2B2C98A70,BD5ECD8A-D442-4607-B35E-106291853A30,2020-07-24 14:07:34.0000000,2,
2025535,Cracks,Stem,1,3,3,7,F1359AE3-3915-46F4-AAB3-D614F25E5728,1A629380-340F-4DC0-A03B-62167E03F6AA,2020-07-30 13:56:24.0000000,4,
1952136,Dead Wood,Branches,3,1,2,6,BFDFB364-9B7C-4E81-83C6-EE65AD2776B2,27EB5359-7C2D-451A-BCBC-E293AD4C4166,2020-07-22 13:00:17.0000000,4,
1555990,Decay,Stem,2,1,4,7,61D649D4-8F3F-4ECE-BB51-225A067E4554,D08EEAE2-1A2E-425C-93E2-179553930871,2020-05-26 18:41:00.0000000,3,
1973344,Decay,Stem,2,1,2,5,588424CF-2F51-4B85-B592-FEA39D247C9F,5718EE90-2204-4BE8-A590-386A9256566D,2020-07-23 12:24:15.0000000,3,
1037494,No Visible Defect,Entire Tree,1,1,1,3,281759D1-36E4-4995-98B8-E736E2F91756,9D6F275D-4937-4F4C-8FDE-DBA61D3D724A,2020-02-11 20:15:00.0000000,2,
1952142,Dead Wood,Branches,2,1,1,4,81F38B18-F941-4D53-B369-CA3E8D31E11B,591ACF9D-B710-486F-945C-949967C10E74,2020-07-22 12:58:08.0000000,3,
1566109,Dead Wood,Branches,2,3,3,8,3D4541D8-E314-412F-902A-1D7ED3532693,97649982-ECAD-473A-A2FF-D3DC53152A4F,2020-05-27 16:14:46.0000000,5,
1555598,Decay,Stem,2,4,2,8,C832DFFC-1CF4-44DB-A5E9-E5446E086403,1F4DE5AD-5733-4609-A9A4-6D4633E7F879,2020-05-26 19:15:00.0000000,6,
1541240,Dead Wood,Branches,1,1,2,4,DC2FA0AF-2958-43A9-977A-079EEB6509A7,DAC07FCE-9E66-4391-8955-DC514659229C,2020-05-21 18:32:29.0000000,2,
1959573,No Visible Defect,Entire Tree,1,1,1,3,341A15AE-7E7E-4D34-BD32-1A58BD8620CA,AEAD4962-A3D5-43E0-B3F7-F086E778D3B9,2020-07-22 19:49:23.0000000,2,
1952125,Dead Wood,Branches,3,1,2,6,D197C278-DAA3-4D12-BD16-792E937B1376,EC5E4258-ED23-4F2F-A16E-D12707E29E7F,2020-07-22 13:11:45.0000000,4,
1959576,No Visible Defect,Entire Tree,1,1,1,3,1C2683CC-B80A-4962-B158-7ACEE4D04F05,1DFCE3D2-28CC-494A-8E73-04E0646818CD,2020-07-22 19:22:02.0000000,2,
1969311,No Visible Defect,Entire Tree,1,1,1,3,CA5069F3-951A-46F7-91DF-FA5C7F16A14D,50CAFCD1-B0FD-47F9-B104-2129227ADBAD,2020-07-23 17:32:30.0000000,2,
592964,Decay,Stem,2,3,3,8,FAF70952-AA05-4C00-811D-193766838E86,AA2FDBF6-8558-4809-92E2-2CE263F99A77,2019-10-29 20:03:00.0000000,5,
1952108,Dead Wood,Branches,3,1,2,6,66F62FC1-380B-4FE1-AD7C-AFCA80A29A09,9269A064-E910-444A-8CE2-3940629EBAE4,2020-07-22 13:10:01.0000000,4,
524294,No Visible Defect,Entire Tree,1,1,1,3,2547482E-CEC6-4AED-B45D-5C2169673253,F25F7D9C-D524-417F-B0BA-1B03686C0CC9,2019-10-23 16:15:00.0000000,2,
1973422,No Visible Defect,Entire Tree,1,1,1,3,803C5B90-5F3E-4681-B70B-10996D1919CE,76FFAF1E-6766-464B-9009-1533BA4083E5,2020-07-23 13:52:07.0000000,2,
1411889,Dead Wood,Branches,2,2,2,6,CE69A6C8-A779-42C5-8CB2-103C68FA99D0,AE29FA36-F7CD-4463-8581-EA864567CAD5,2020-04-28 13:36:00.0000000,4,
1141204,Dead Wood,Branches,1,2,2,5,839F8494-1942-4C5A-A563-6ADFEAA84891,1838C2D5-3CCA-4191-BF52-B726E44ADD00,2020-03-04 18:23:00.0000000,3,
1471880,Dead Wood,Branches,1,1,2,4,6A9B51A4-7652-4B6F-8214-739646208976,4467675C-1ACF-4519-9735-14B584A46B32,2020-05-08 14:14:00.0000000,2,
1958291,No Visible Defect,Entire Tree,1,1,1,3,B16FA14A-79DB-4E6A-A916-E2DCA8D1E94E,99F138F4-6F7C-46A8-9340-500D56C87384,2020-07-22 15:33:35.0000000,2,
465565,No Visible Defect,Entire Tree,1,1,1,3,99AA9ECF-E8E8-4EA1-9EBD-6EAECFDE23CD,91DDDF0C-7E91-4967-BAF7-A1F0747F960D,2019-06-03 12:05:52.0000000,2,
1958311,Dead Wood,Branches,2,1,1,4,F09D18F2-C6B8-4846-B376-721A34AB0029,F506EEAF-1007-4B73-9127-17F5D316929B,2020-07-22 15:38:03.0000000,3,
1973442,Dead Wood,Branches,2,1,1,4,09A60714-4D54-475E-BAD1-6D7A75EEB356,D02A59FE-3A49-4EA8-93B1-AC769FD3BDD7,2020-07-23 12:04:38.0000000,3,
1246989,Dead Wood,Branches,3,2,3,8,1DA72421-F2FB-49D2-B439-D88240A640B9,36B1677D-8E09-48E3-8CAD-C62CB4C5511C,2020-03-19 16:14:20.0000000,5,795D6E27-B4B5-4D75-B2B5-3B1C50F1DF02
445405,Dead Wood,Branches,4,3,2,9,B86CE41E-D267-4BAB-90A0-5A949ED6427D,F5F4B340-89F6-47A7-9FE8-8B7BF2AD644F,2019-10-17 16:43:00.0000000,7,242B984D-B3CA-45B2-A2BE-03D37C9C225E
1090204,No Visible Defect,Entire Tree,1,1,1,3,9B271092-70F3-4ABF-80F3-8B44FADDC086,0346B03B-AF65-42CB-96FD-B6018C69A87F,2020-02-25 13:35:00.0000000,2,
698477,Dead Wood,Branches,4,1,3,8,4594B313-0EA2-4651-90D0-A25E4B31B298,F92ECCB9-5232-480B-9644-9F2E858F0361,2019-11-25 18:19:00.0000000,5,C980EA3F-45B3-4D39-B933-C5FA7718E964
1973362,No Visible Defect,Entire Tree,1,1,1,3,F6B129CC-F9E9-4E6A-8BF3-8AA3705941AA,9AC19E30-F69E-4D81-8041-C9AD6A8970E9,2020-07-23 12:32:17.0000000,2,
1973425,Dead Wood,Branches,2,1,1,4,4F41BF37-F6CA-4F16-91E6-902495CB6CC3,DDD6BB7D-3019-4EAE-A686-EFBAE3228ABF,2020-07-23 12:14:59.0000000,3,
1958320,Dead Wood,Branches,2,1,2,5,19FBFF31-90C1-4F3A-BBED-19DD04FAF6BE,C51C6AFE-A5B7-48DC-B41B-CB63FC389420,2020-07-22 15:23:27.0000000,3,
1564066,Dead Wood,Branches,2,2,2,6,5B97C4B2-024A-4D8E-AA23-491E238BE19A,018D47B9-EA42-4FA6-A364-CC7C3EDB1ECC,2020-05-27 14:16:01.0000000,4,
863644,Dead Wood,Stem,3,3,4,10,189B2008-C78E-48C1-9CB9-102A5CF683FE,E55FE8C3-6C95-4820-9508-66483FE8387E,2020-01-06 14:35:00.0000000,6,
986529,Dead Wood,Branches,3,1,4,8,FBEEB4A8-10CE-4280-B872-BC1934E03CF2,01A7DA19-7ED8-4E80-B9D1-B7AE2AFCC474,2020-01-29 15:37:00.0000000,4,64C806A3-D24F-4848-A5AA-C264744D960C
1952140,Dead Wood,Branches,3,1,2,6,03629DEC-77A0-4A25-BD21-E3E10411CB8D,104A2277-113B-4A6C-ACA1-F8369DC3D64E,2020-07-22 13:02:18.0000000,4,
